,NW,W
msp_0328,-0.5196052137265245,0.3031030413404728
msp_0329,-0.27783253761144616,0.16206898027334357
msp_0330,0.517053386248995,-0.30161447531191365
msp_0331,-0.9183403209930008,0.5356985205792505
msp_0332,0.5842376167493996,-0.34080527643714964
msp_0333,0.9086020782058545,-0.530017878953415
msp_0334,-0.6922368460593838,0.40380482686797414
msp_0335,-0.7918280233795407,0.4618996803047322
msp_0336,-0.3085883762502579,0.18000988614598376
msp_0337,-0.5135802644057246,0.29958848757000617
msp_0338,-0.3035889913165145,0.1770935782679668
msp_0339,0.9932475975396524,-0.5793944318981304
msp_0340,-0.9188307431688739,0.535984600181843
msp_0341,-0.48913137661711925,0.2853266363599862
msp_0342,-0.6885899131901755,0.4016774493609356
msp_0343,0.463284357481684,-0.2702492085309822
msp_0344,0.30573826644978236,-0.17834732209570622
msp_0345,0.8605195654666968,-0.5019697465222398
msp_0346,-0.36401087788423936,0.2123396787658057
