,values,ind
619,ERS1487591,ET-Firmicutes
620,ERS1487594,ET-Firmicutes
621,ERS1487598,ET-Firmicutes
622,ERS1487600,ET-Firmicutes
623,ERS1487606,ET-Firmicutes
624,ERS1487607,ET-Firmicutes
625,ERS1487609,ET-Firmicutes
626,ERS1487610,ET-Firmicutes
627,ERS1487619,ET-Firmicutes
628,ERS1487621,ET-Firmicutes
629,ERS1487622,ET-Firmicutes
630,ERS1487623,ET-Firmicutes
631,ERS1487624,ET-Firmicutes
632,ERS006563,ET-Firmicutes
633,ERS006512,ET-Firmicutes
634,ERS006582,ET-Firmicutes
635,ERS006521,ET-Firmicutes
636,ERS006605,ET-Firmicutes
637,ERS006502,ET-Firmicutes
638,ERS006509,ET-Firmicutes
639,ERS006559,ET-Firmicutes
640,ERS006574,ET-Firmicutes
641,ERS006539,ET-Firmicutes
642,ERS006599,ET-Firmicutes
643,ERS006595,ET-Firmicutes
644,ERS006602,ET-Firmicutes
645,ERS006524,ET-Firmicutes
646,ERS006577,ET-Firmicutes
647,ERS006485,ET-Firmicutes
648,ERS006598,ET-Firmicutes
649,ERS006545,ET-Firmicutes
650,ERS006518,ET-Firmicutes
651,ERS006575,ET-Firmicutes
652,ERS006510,ET-Firmicutes
653,ERS006594,ET-Firmicutes
654,ERS006492,ET-Firmicutes
655,ERS1726291,ET-Firmicutes
656,ERS1726293,ET-Firmicutes
657,ERS1726292,ET-Firmicutes
658,ERS1726334,ET-Firmicutes
659,ERS1726335,ET-Firmicutes
660,ERS1726338,ET-Firmicutes
661,ERS1726340,ET-Firmicutes
662,ERS1726339,ET-Firmicutes
663,ERS1726345,ET-Firmicutes
664,ERS1726295,ET-Firmicutes
665,ERS1726297,ET-Firmicutes
666,ERS1726300,ET-Firmicutes
667,ERS1726301,ET-Firmicutes
668,ERS1726305,ET-Firmicutes
669,ERS1726307,ET-Firmicutes
670,ERS1726306,ET-Firmicutes
671,ERS1726310,ET-Firmicutes
672,ERS1726313,ET-Firmicutes
673,ERS1726311,ET-Firmicutes
674,ERS1726317,ET-Firmicutes
675,ERS1726316,ET-Firmicutes
676,ERS1726320,ET-Firmicutes
677,ERS1726329,ET-Firmicutes
678,ERS1726332,ET-Firmicutes
679,ERS1726330,ET-Firmicutes
680,ERS1801254,ET-Firmicutes
681,ERS1801253,ET-Firmicutes
682,ERS1801252,ET-Firmicutes
683,ERS1801251,ET-Firmicutes
684,ERS1801249,ET-Firmicutes
685,ERS1801248,ET-Firmicutes
686,ERS1801395,ET-Firmicutes
687,ERS1801398,ET-Firmicutes
688,ERS1801399,ET-Firmicutes
689,ERS1801400,ET-Firmicutes
690,ERS1801402,ET-Firmicutes
691,ERS1801403,ET-Firmicutes
692,ERS1801404,ET-Firmicutes
693,ERS1801406,ET-Firmicutes
694,ERS1801244,ET-Firmicutes
695,ERS1801470,ET-Firmicutes
696,ERS1801415,ET-Firmicutes
697,ERS1801416,ET-Firmicutes
698,ERS1801422,ET-Firmicutes
699,ERS1801424,ET-Firmicutes
700,ERS1801425,ET-Firmicutes
701,ERS1801426,ET-Firmicutes
702,ERS1801466,ET-Firmicutes
703,ERS1801235,ET-Firmicutes
704,ERS1801233,ET-Firmicutes
705,ERS1801231,ET-Firmicutes
706,ERS1801228,ET-Firmicutes
707,ERS1801095,ET-Firmicutes
708,ERS1801171,ET-Firmicutes
709,ERS1801170,ET-Firmicutes
710,ERS1801166,ET-Firmicutes
711,ERS1801164,ET-Firmicutes
712,ERS1801161,ET-Firmicutes
